,parent,daughter,loss,count
0,83.1,82.1,1.0,1
1,91.1,82.1,9.0,1
2,91.1,83.1,8.0,1
3,93.0,82.1,10.900000000000006,1
4,93.0,83.1,9.900000000000006,1
5,93.0,91.1,1.9000000000000057,1
6,93.1,82.1,11.0,1
7,93.1,83.1,10.0,1
8,93.1,91.1,2.0,1
9,94.1,82.1,12.0,1
10,94.1,83.1,11.0,1
11,94.1,91.1,3.0,1
12,94.1,93.0,1.0999999999999943,1
13,94.1,93.1,1.0,1
14,105.0,82.1,22.900000000000006,1
15,105.0,83.1,21.900000000000006,1
16,105.0,91.1,13.900000000000006,1
17,105.0,93.0,12.0,1
18,105.0,93.1,11.900000000000006,1
19,105.0,94.1,10.900000000000006,1
20,108.1,82.1,26.0,1
21,108.1,83.1,25.0,1
22,108.1,91.1,17.0,1
23,108.1,93.0,15.099999999999994,1
24,108.1,93.1,15.0,1
25,108.1,94.1,14.0,1
26,108.1,105.0,3.0999999999999943,1
27,119.0,82.1,36.900000000000006,1
28,119.0,83.1,35.900000000000006,1
29,119.0,91.1,27.900000000000006,1
30,119.0,93.0,26.0,1
31,119.0,93.1,25.900000000000006,1
32,119.0,94.1,24.900000000000006,1
33,119.0,105.0,14.0,1
34,119.0,108.1,10.900000000000006,1
35,122.1,82.1,40.0,1
36,122.1,83.1,39.0,1
37,122.1,91.1,31.0,1
38,122.1,93.0,29.099999999999994,1
39,122.1,93.1,29.0,1
40,122.1,94.1,28.0,1
41,122.1,105.0,17.099999999999994,1
42,122.1,108.1,14.0,1
43,122.1,119.0,3.0999999999999943,1
44,150.1,82.1,68.0,1
45,150.1,83.1,67.0,1
46,150.1,91.1,59.0,1
47,150.1,93.0,57.099999999999994,1
48,150.1,93.1,57.0,1
49,150.1,94.1,56.0,1
50,150.1,105.0,45.099999999999994,1
51,150.1,108.1,42.0,1
52,150.1,119.0,31.099999999999994,1
53,150.1,122.1,28.0,1
54,154.1,82.1,72.0,1
55,154.1,83.1,71.0,1
56,154.1,91.1,63.0,1
57,154.1,93.0,61.099999999999994,1
58,154.1,93.1,61.0,1
59,154.1,94.1,60.0,1
60,154.1,105.0,49.099999999999994,1
61,154.1,108.1,46.0,1
62,154.1,119.0,35.099999999999994,1
63,154.1,122.1,32.0,1
64,154.1,150.1,4.0,1
65,182.1,82.1,100.0,1
66,182.1,83.1,99.0,1
67,182.1,91.1,91.0,1
68,182.1,93.0,89.1,1
69,182.1,93.1,89.0,1
70,182.1,94.1,88.0,1
71,182.1,105.0,77.1,1
72,182.1,108.1,74.0,1
73,182.1,119.0,63.099999999999994,1
74,182.1,122.1,60.0,1
75,182.1,150.1,32.0,1
76,182.1,154.1,28.0,1
77,183.1,82.1,101.0,1
78,183.1,83.1,100.0,1
79,183.1,91.1,92.0,1
80,183.1,93.0,90.1,1
81,183.1,93.1,90.0,1
82,183.1,94.1,89.0,1
83,183.1,105.0,78.1,1
84,183.1,108.1,75.0,1
85,183.1,119.0,64.1,1
86,183.1,122.1,61.0,1
87,183.1,150.1,33.0,1
88,183.1,154.1,29.0,1
89,183.1,182.1,1.0,1
90,304.2,82.1,222.1,1
91,304.2,83.1,221.1,1
92,304.2,91.1,213.1,1
93,304.2,93.0,211.2,1
94,304.2,93.1,211.1,1
95,304.2,94.1,210.1,1
96,304.2,105.0,199.2,1
97,304.2,108.1,196.1,1
98,304.2,119.0,185.2,1
99,304.2,122.1,182.1,1
100,304.2,150.1,154.1,1
101,304.2,154.1,150.1,1
102,304.2,182.1,122.1,1
103,304.2,183.1,121.1,1
104,305.2,82.1,223.1,1
105,305.2,83.1,222.1,1
106,305.2,91.1,214.1,1
107,305.2,93.0,212.2,1
108,305.2,93.1,212.1,1
109,305.2,94.1,211.1,1
110,305.2,105.0,200.2,1
111,305.2,108.1,197.1,1
112,305.2,119.0,186.2,1
113,305.2,122.1,183.1,1
114,305.2,150.1,155.1,1
115,305.2,154.1,151.1,1
116,305.2,182.1,123.1,1
117,305.2,183.1,122.1,1
118,305.2,304.2,1.0,1
