,parent,daughter,count
0,82.07,82.06,1
1,82.07,82.07,1
2,90.98,82.06,1
3,90.98,82.07,1
4,90.98,90.98,1
5,182.11,82.06,1
6,182.11,82.07,1
7,182.11,90.98,1
8,182.11,182.11,1
9,182.12,82.06,1
10,182.12,82.07,1
11,182.12,90.98,1
12,182.12,182.11,1
13,182.12,182.12,1
14,304.14,82.06,1
15,304.14,82.07,1
16,304.14,90.98,1
17,304.14,182.11,1
18,304.14,182.12,1
19,304.14,304.14,1
20,304.15,82.06,1
21,304.15,82.07,1
22,304.15,90.98,1
23,304.15,182.11,1
24,304.15,182.12,1
25,304.15,304.14,1
26,304.15,304.15,1
27,304.16,82.06,1
28,304.16,82.07,1
29,304.16,90.98,1
30,304.16,182.11,1
31,304.16,182.12,1
32,304.16,304.14,1
33,304.16,304.15,1
34,304.16,304.16,1
35,304.17,82.06,1
36,304.17,82.07,1
37,304.17,90.98,1
38,304.17,182.11,1
39,304.17,182.12,1
40,304.17,304.14,1
41,304.17,304.15,1
42,304.17,304.16,1
43,305.15,82.06,1
44,305.15,82.07,1
45,305.15,90.98,1
46,305.15,182.11,1
47,305.15,182.12,1
48,305.15,304.14,1
49,305.15,304.15,1
50,305.15,304.16,1
51,305.15,304.17,1
52,305.16,82.06,1
53,305.16,82.07,1
54,305.16,90.98,1
55,305.16,182.11,1
56,305.16,182.12,1
57,305.16,304.14,1
58,305.16,304.15,1
59,305.16,304.16,1
60,305.16,304.17,1
61,305.16,305.15,1
62,305.16,305.16,1
